TIC,ra,dec,assoc,vetted,variable,Vmag,Kmag,plx,Vmag_unred,Kmag_unred
55764816,112.8046973,-12.07302198,Theia379,1,0,10.874,9.488,3.65555,10.874,9.488
25448598,144.0396417,-35.86751371,Theia443,1,0,10.846,8.985,7.86605,10.38789882,8.933238621
386563186,159.1275736,-13.84318664,Car-near,1,0,10.75,9.33,3.94238,10.68953115,9.323167555
186129790,303.2471795,44.9336287,Theia96,1,0,10.692,9.215,5.45477,10.692,9.215
14076683,58.8156645,19.62935138,Theia369,1,0,10.661,8.844,5.22644,9.935373758,8.762010658
24405779,79.39361493,-6.84672778,Theia13,1,0,10.646,9.154,5.77326,10.646,9.154
172696401,100.9429953,-25.01576058,Theia208,1,0,10.625,9.443,4.50821,10.625,9.443
384954367,137.1633627,-59.67607973,Theia115,1,0,10.51,9.112,4.09283,9.682474263,9.018496917
118597400,69.41158952,23.34962086,Theia7,1,0,10.294,8.449,10.4717,10.294,8.449
285144988,119.8072594,-43.56312885,Theia99,1,0,10.278,8.717,8.67722,9.185776944,8.593588463
284134739,108.5721176,3.254597139,Theia172,1,0,10.24,8.737,8.91832,10.24,8.737
210365319,211.99543,-57.30619627,Theia439,1,0,10.191,7.966,9.1014,7.953227223,7.713151485
80830597,87.92061904,10.03438717,Theia116,1,0,10.173,8.587,9.60455,10.173,8.587
306100488,264.3684077,-60.04666062,Theia452,1,0,10.117,8.133,8.75377,9.901150985,8.108610972
360641879,142.8175541,-62.16156966,Theia424,1,0,10.085,8.186,13.3857,9.17846164,8.08356919
145756132,123.1234193,-31.55442688,Theia118,1,0,9.665,8.343,9.26106,7.552570261,8.104314139
194949415,313.1444525,39.20801216,Theia168,1,0,9.664,8.277,7.59929,9.664,8.277
411582334,329.0261947,64.75514898,Theia57,1,0,8.983,7.664,12.0766,8.983,7.664
459099505,161.8344112,-55.28145397,Theia439,1,0,7.8,6.131,28.1584,5.631385445,5.885965752
103026670,263.8801169,-34.25071888,Theia122,1,0,7.67,6.292,19.9028,-1.936852386,5.20651072
278016010,177.8667684,-35.9577786,Theia430,1,0,7.64,5.801,38.1125,7.368386219,5.770310047
