target,filter,cluster,_RAJ2000,_DEJ2000,S/N,Teff,logg,gamma,Ks,RV,e_RV,logL
07425744-3757494,665,NGC2451a,115.73933,-37.9637,36.51,5217,2.689,1.016,13.308,131.84,0.59,-1.84
07425783-3837339,665,NGC2451a,115.74096,-38.6261,62.27,4938,3.02,1.018,11.401,63.31,0.29,-1.09
07425892-3831587,665,NGC2451a,115.7455,-38.533,17.4,3217,4.716,0.847,12.997,15.41,0.38,-1.83
07430018-3836491,665,NGC2451a,115.75075,-38.6136,58.1,4918,2.366,1.016,12.505,121.35,0.35,-1.54
07430058-3757301,665,NGC2451a,115.75242,-37.9584,143.12,6292,4.194,0.999,10.757,14.64,0.36,-0.41
07430133-3806263,665,NGC2451a,115.75554,-38.1073,67.5,4641,2.46,1.026,12.269,157.5,0.26,-1.47
07430263-3827030,665,NGC2451a,115.76096,-38.4508,32.18,4998,2.723,1.011,13.3,89.23,0.37,-1.86
07430270-3803157,665,NGC2451a,115.76125,-38.0544,41.46,3938,4.62,0.86,13.289,9.56,0.28,-1.85
07430285-3843552,665,NGC2451a,115.76188,-38.732,95.74,4873,3.07,1.009,10.884,12,0.25,-0.82
07430450-3835400,665,NGC2451a,115.76875,-38.5944,27.4,5174,2.803,1.019,13.664,79.13,0.65,-2.01
07430505-3824381,665,NGC2451a,115.77104,-38.4106,46.74,4752,2.665,1.019,12.805,81.89,0.29,-1.65
07430528-3759205,665,NGC2451a,115.772,-37.989,37.45,3459,4.745,0.81,11.533,12.13,0.28,-1.2
07430554-3840428,665,NGC2451a,115.77308,-38.6786,73.57,4462,2.646,1.02,11.959,25.94,0.26,-1.33
07430581-3823429,665,NGC2451a,115.77421,-38.3952,44.81,4901,2.596,1.012,12.432,85.14,0.39,-1.52
07430613-3832380,665,NGC2451a,115.77554,-38.5439,73.18,3596,4.441,0.845,11.459,23.35,0.26,-1.16
07430635-3809211,665,NGC2451a,115.77646,-38.1559,51.4,3715,4.57,0.921,10.912,25.67,2.32,-0.94
07430689-3757178,665,NGC2451a,115.77871,-37.9549,58.88,5131,2.594,1.012,12.457,68.83,0.32,-1.48
07430745-3829592,665,NGC2451a,115.78104,-38.4998,48.56,4651,2.721,1.006,11.555,62.43,0.28,-1.17
07430754-3841144,665,NGC2451a,115.78142,-38.6873,114.73,5698,3.822,1,11.364,1.9,0.27,-0.8
07430773-3826578,665,NGC2451a,115.78221,-38.4494,60.08,4993,3.345,1.005,12.526,114.03,0.28,-1.52
07430947-3833565,665,NGC2451a,115.78946,-38.5657,11.1,3096,3.815,0.929,13.437,693.58,2.48,-2.02
07431068-3817272,665,NGC2451a,115.7945,-38.2909,21.94,5284,3.832,1.012,13.733,109.74,0.94,-2.04
07431113-3805065,665,NGC2451a,115.79638,-38.0851,73.24,5122,2.735,1.024,12.596,127.13,0.29,-1.54
07431122-3805443,665,NGC2451a,115.79675,-38.0956,86.94,4731,3.05,1.022,11.406,12.6,1.85,-0.93
07431134-3809107,665,NGC2451a,115.79725,-38.153,59.12,4876,3.327,1.006,11.772,14.9,0.29,-1.21
07431163-3806114,665,NGC2451a,115.79846,-38.1032,40.93,4767,2.7,1.022,13.309,174.01,0.35,-1.87
07431196-3759577,665,NGC2451a,115.79983,-37.9994,107.27,4754,4.409,0.967,11.186,0.19,0.26,-0.86
07431295-3843144,665,NGC2451a,115.80396,-38.7207,24.89,3844,4.64,0.883,12.345,55.73,0.51,-1.55
07431329-3838162,665,NGC2451a,115.80538,-38.6378,41.52,4958,3.33,1.017,13.048,53.93,0.29,-1.76
07431361-3812344,665,NGC2451a,115.80671,-38.2096,26.25,3800,4.702,0.81,13.434,44.32,0.37,-1.94
07431401-3807439,665,NGC2451a,115.80838,-38.1289,79,4852,4.753,0.958,12.646,53.7,0.25,-1.47
07431408-3813083,665,NGC2451a,115.80867,-38.219,14.1,3240,4.468,0.88,13.537,26.7,1.06,-2.05
07431424-3840074,665,NGC2451a,115.80933,-38.6687,76.04,5000,2.523,1.015,12.118,75.42,0.27,-1.35
07431451-3810155,665,NGC2451a,115.81046,-38.171,36.09,4990,4.415,0.983,13.757,46.28,0.49,-2
07431452-3817035,665,NGC2451a,115.8105,-38.2843,41.97,4918,3.204,1.011,12.743,39.71,0.34,-1.64
07431457-3830403,665,NGC2451a,115.81071,-38.5112,54.76,4873,2.605,1.029,12.214,105.8,0.28,-1.45
07431486-3805018,665,NGC2451a,115.81192,-38.0838,48.11,5293,3.058,1.019,13.2,127.33,0.39,-1.79
07431499-3805409,665,NGC2451a,115.81246,-38.0947,35.94,4964,3.232,0.997,13.663,15.05,0.37,-1.99
07431512-3807248,665,NGC2451a,115.813,-38.1236,34.32,4712,2.995,1.002,13.621,73.6,0.35,-1.99
07431532-3836211,665,NGC2451a,115.81383,-38.6059,62.76,4819,2.741,1.018,10.958,34.93,0.27,-0.94
07431591-3804224,665,NGC2451a,115.81629,-38.0729,67.87,4684,2.393,1.017,11.002,60.35,0.27,-0.94
07431615-3816535,665,NGC2451a,115.81729,-38.2815,31.62,4875,2.347,1.032,12.94,122.83,0.4,-1.73
07431622-3752041,665,NGC2451a,115.81758,-37.8678,40.4,5744,4.762,0.982,11.541,43.52,0.35,-0.89
07431633-3809554,665,NGC2451a,115.81804,-38.1654,111.12,5090,3.043,1.007,10.479,24.64,0.27,-0.68
07431640-3832476,665,NGC2451a,115.81833,-38.5466,39.48,5037,2.056,1.001,12.902,296.56,0.53,-1.7
07431646-3844146,665,NGC2451a,115.81858,-38.7374,168.23,6227,4.394,0.995,10.866,28.22,0.25,-0.47
07431674-3825389,665,NGC2451a,115.81975,-38.4275,37.77,4924,2.509,1.01,13.185,141.52,0.37,-1.81
07431681-3830377,665,NGC2451a,115.82004,-38.5105,37.12,5324,3.33,1.01,13.201,37.95,0.34,-1.82
07431767-3837437,665,NGC2451a,115.82363,-38.6288,73.79,4963,2.883,1.012,11.881,76.89,0.27,-1.31
07431783-3800543,665,NGC2451a,115.82429,-38.0151,40.4,4699,2.434,1.016,12.979,73.71,0.3,-1.74
07431808-3745590,665,NGC2451a,115.82533,-37.7664,12.3,5500,3,0.933,13.162,267.02,56.27,-1.88
07431841-3750059,665,NGC2451a,115.82671,-37.835,52.83,5084,3.429,0.999,12.541,69.06,0.29,-1.51
07431847-3808209,665,NGC2451a,115.82696,-38.1391,39.89,4442,2.401,1.011,13.079,70.68,0.29,-1.79
07431919-3816423,665,NGC2451a,115.82996,-38.2784,32.88,4312,4.51,0.898,13.154,4,0.47,-1.82
07431941-3748319,665,NGC2451a,115.83088,-37.8089,104.16,5092,3.551,1.003,10.713,49.93,0.26,-0.75
07431942-3831348,665,NGC2451a,115.83092,-38.5263,31.63,5119,3.182,0.999,13.376,128.91,0.47,-1.89
07431986-3812485,665,NGC2451a,115.83275,-38.2135,90.7,4968,3.127,1.011,10.754,54.57,0.26,-0.81
07432106-3812455,665,NGC2451a,115.83775,-38.2126,70.26,4929,3.22,1.012,12.215,60.93,0.4,-1.42
07432129-3744272,665,NGC2451a,115.83871,-37.7409,55.88,4889,2.573,1.011,11.375,77.81,0.32,-1.05
07432212-3744538,665,NGC2451a,115.84217,-37.7483,29.31,5440,2.905,1.013,13.52,94.01,0.63,-1.9
07432221-3817216,665,NGC2451a,115.84254,-38.2893,30.84,5009,3.089,1.018,11.476,41.79,0.39,-1.12
07432295-3814318,665,NGC2451a,115.84563,-38.2422,137.44,5941,4.21,0.993,11.035,92.37,0.26,-0.65
07432334-3744496,665,NGC2451a,115.84725,-37.7471,43.35,5063,2.684,1.018,12.79,85.54,0.48,-1.63
07432363-3819141,665,NGC2451a,115.84846,-38.3206,33.23,4851,2.785,1.006,13.265,77.59,0.38,-1.83
