target,filter,cluster,_RAJ2000,_DEJ2000,S/N,Teff,logg,gamma,Ks,RV,e_RV,logL
06414819+0942533,665,NGC2264,100.45079,9.7148,70.47,4556,4.461,0.945,13.015,2.03,0.28,-0.49
06414858+1008388,665,NGC2264,100.45242,10.1441,14.86,5747,3.162,1.019,13.896,2.92,1.29,-0.98
06414859+0954115,665,NGC2264,100.45246,9.9032,37.78,4435,4.436,0.946,13.496,29.18,0.33,-0.65
06414862+0953202,665,NGC2264,100.45258,9.8889,38.76,4967,3.77,1.016,12.056,2.33,0.55,-0.3
06414882+1007246,665,NGC2264,100.45342,10.1235,25.11,8036,-999,1.008,12.798,36.57,4.92,-0.53
06414883+0940070,665,NGC2264,100.45346,9.6686,74.15,5603,4.16,1.014,12.445,47.94,1.26,-0.36
06414887+0943134,665,NGC2264,100.45363,9.7204,348.22,4078,2.24,1.057,8.544,26.14,0.24,1.02
06414899+0945205,665,NGC2264,100.45413,9.7557,39.77,6348,4.385,0.995,13.354,47.63,0.69,-0.77
06414901+0941061,665,NGC2264,100.45421,9.685,64.61,3912,4.53,0.92,11.912,16.92,0.26,-0.17
06414914+0945032,665,NGC2264,100.45475,9.7509,25.9,8021,4.14,0.998,13.725,59.24,14.59,-0.88
06414916+1007194,665,NGC2264,100.45483,10.1221,60.09,7179,4.15,0.999,10.994,0.88,2.77,0.28
06414928+0948173,665,NGC2264,100.45533,9.8048,16.91,6556,4.492,0.989,14.136,36.77,1.28,-1.05
06414931+0910476,665,NGC2264,100.45546,9.1799,43.72,4693,2.551,1.015,11.664,33.09,0.3,-0.14
06414937+0958491,665,NGC2264,100.45571,9.9803,77.49,5945,4.31,0.998,11.552,-1.41,0.38,0.24
06414987+0955485,665,NGC2264,100.45779,9.9301,17.09,6185,4.155,1,13.496,-21.57,1.14,-0.86
06414992+0946170,665,NGC2264,100.458,9.7714,28.69,6541,3.99,1.003,13.122,224.86,9.9,-0.63
06415000+0945570,665,NGC2264,100.45833,9.7658,24.84,6101,4.17,1.006,13.706,73.36,0.86,-0.91
06415003+0929322,665,NGC2264,100.45846,9.4923,48.52,4268,4.47,0.967,12.051,19.84,0.33,-0.16
06415018+0914137,665,NGC2264,100.45908,9.2371,68.25,3919,4.6,0.848,12.633,-4.56,0.3,-0.43
06415040+0939270,665,NGC2264,100.46,9.6575,119.44,4460,2.75,1.02,10.92,35.24,0.24,0.15
06415044+0931397,665,NGC2264,100.46017,9.5277,17.29,4584,2.133,1.023,12.707,54.86,0.56,-0.6
06415046+0946017,665,NGC2264,100.46025,9.7671,82.61,4009,2.1,1.053,8.813,51.26,0.25,0.93
06415050+0928115,665,NGC2264,100.46042,9.4699,45,6396,4.64,0.989,13.346,57.08,0.53,-0.73
06415087+0947258,665,NGC2264,100.46196,9.7905,56.31,4268,2.49,1.045,10.716,5.74,0.26,0.19
06415091+0927515,665,NGC2264,100.46213,9.4643,11.31,6191,4.169,0.999,14.49,24.65,1.82,-1.23
06415109+0910466,665,NGC2264,100.46288,9.1796,26.9,6598,4.445,0.992,13.351,39.18,2.1,-0.72
06415110+0912199,665,NGC2264,100.46292,9.2055,97.78,3992,1.75,1.051,7.653,9.61,0.24,1.4
06415146+0953426,665,NGC2264,100.46442,9.8952,154.03,5154,4.23,0.998,11.609,19.06,0.27,0.27
06415148+0944097,665,NGC2264,100.4645,9.736,30.24,3606,4.68,0.875,12.886,16.79,0.34,-0.59
06415155+0911312,665,NGC2264,100.46479,9.192,35.83,7902,4.16,1,12.706,26.05,3.25,-0.51
06415159+0942173,665,NGC2264,100.46496,9.7048,71.51,4796,3.11,1.015,10.707,23.54,0.26,0.23
06415160+0912227,665,NGC2264,100.465,9.2063,24.07,8169,-999,0.995,13.461,50.95,6.38,-0.79
06415184+0932566,665,NGC2264,100.466,9.5491,15.03,4704,2.219,1.019,12.946,91.47,0.73,-0.69
06415191+0929271,665,NGC2264,100.46629,9.4909,43.37,4440,4.464,0.95,12.791,46.81,0.28,-0.34
06415213+0943097,665,NGC2264,100.46721,9.7194,16.76,5720,3.819,1,13.04,23.45,0.88,-0.7
06415219+0946221,665,NGC2264,100.46746,9.7728,14.34,4995,3.637,0.987,13.098,16.95,1.61,-0.71
06415237+0912446,665,NGC2264,100.46821,9.2124,18.19,5565,2.907,1.02,13.281,12.59,0.92,-0.79
06415262+1001102,665,NGC2264,100.46925,10.0195,15.74,5849,3.441,1.009,13.739,54.26,1.09,-0.95
06415272+0923099,665,NGC2264,100.46967,9.3861,10.87,5639,5.679,0.978,13.624,352.49,18.06,-0.9
06415292+1006393,665,NGC2264,100.4705,10.1109,16.3,5036,3.838,0.985,13.734,17.39,0.7,-0.92
06415305+1000023,665,NGC2264,100.47104,10.0006,34.9,3321,4.71,0.804,12.085,1.13,0.33,-0.29
06415306+0949160,665,NGC2264,100.47108,9.8211,34.29,5628,4.253,0.994,12.927,41.36,0.45,-0.61
06415307+0958034,665,NGC2264,100.47092,9.9674,80.25,4131,4.59,0.978,11.175,14.55,0.77,0.1
06415315+0944249,665,NGC2264,100.47146,9.7402,89.88,8471,4.05,0.996,11.457,30.19,1.55,0.12
06415315+0950474,665,NGC2264,100.47146,9.8465,52.81,4301,4.48,0.957,12.003,20.93,0.28,-0.17
06415317+0921371,665,NGC2264,100.47154,9.3603,13.39,4720,3.042,0.994,12.621,72.52,2.91,-0.31
06415327+0922260,665,NGC2264,100.47196,9.3739,16.73,4971,3.637,0.987,13.367,114,1.3,-0.83
06415350+0952492,665,NGC2264,100.47292,9.8803,19.04,5127,2.42,1.02,13.672,103.55,0.96,-0.92
06415361+0946150,665,NGC2264,100.47338,9.7708,17.19,4773,2.312,1.023,13.234,17.91,0.66,-0.78
06415371+1005592,665,NGC2264,100.47379,10.0998,67.25,4675,4.455,0.963,11.728,-12.71,0.28,0.1
06415372+0916294,665,NGC2264,100.47383,9.2748,14.8,3526,4.262,0.842,13.431,29.25,0.53,-0.81
06415372+0959233,665,NGC2264,100.47383,9.9898,9.48,-999,-999,-999,14.229,27.79,4.03,-99
06415383+0954001,665,NGC2264,100.47429,9.9,93.33,6397,4.11,1,11.81,29.13,0.74,0.04
06415404+0925547,665,NGC2264,100.47517,9.4319,16.59,5951,-999,0.967,13.3,44.03,2.09,-0.8
06415425+0919104,665,NGC2264,100.47604,9.3196,10.18,-999,-999,0.989,13.658,32.55,9.93,-99
06415431+0946230,665,NGC2264,100.47629,9.7731,53.35,4186,4.498,0.914,13.581,-20.46,0.28,-0.73
06415434+0931453,665,NGC2264,100.47642,9.5292,13.7,3649,4.01,0.856,14.327,-20.3,0.55,-1.13
06415448+0929159,665,NGC2264,100.477,9.4878,105.83,4719,2.88,1.017,8.868,16.62,0.25,0.95
06415465+0954162,665,NGC2264,100.47771,9.9045,44.06,6276,4.406,0.995,13.549,24.25,0.66,-0.69
06415470+0926115,665,NGC2264,100.47792,9.4365,13.41,5280,3.635,0.994,13.969,51.17,1.36,-1.05
06415478+1007045,665,NGC2264,100.47825,10.1179,25.69,4730,3.28,1.029,12.13,10.65,0.44,-0.33
06415483+0925288,665,NGC2264,100.47846,9.4247,156.98,4292,2.47,1.049,7.455,45.94,0.24,1.5
06415490+1002379,665,NGC2264,100.47875,10.0439,10.28,5706,2.994,1.026,13.95,77.04,2.25,-1.04
06415493+0942527,665,NGC2264,100.47888,9.7146,19.9,3580,3.524,0.898,13.405,16.59,0.54,-0.8
06415497+0930065,665,NGC2264,100.47904,9.5018,44.53,3765,4.55,0.9,12.345,15.06,0.36,-0.38
06415500+0953260,665,NGC2264,100.47917,9.8906,128.91,6318,3.94,1.012,11.006,-14.81,0.45,0.39
06415505+0957549,665,NGC2264,100.47938,9.9652,14.53,3727,4.593,0.82,14.061,44.63,0.62,-1.02
06415506+1000031,665,NGC2264,100.47942,10.0009,32.09,3825,4.64,0.896,12.881,29.37,0.32,-0.58
06415530+0933568,665,NGC2264,100.48042,9.5658,61.86,4531,4.531,0.949,12.781,-8.41,0.3,-0.48
06415593+0940468,665,NGC2264,100.48304,9.6797,46.52,3752,4.67,0.909,12.134,18.25,0.26,-0.31
06415596+0947193,665,NGC2264,100.48317,9.7887,23.5,5727,4.37,1.004,13.576,34.43,0.74,-0.86
06415600+0911478,665,NGC2264,100.48333,9.1966,5.6,-999,-999,-999,13.404,45.84,4.65,-99
06415601+0942508,665,NGC2264,100.48338,9.7141,13.43,5745,4.505,0.99,13.986,-14.22,1.39,-1.03
06415620+0952218,665,NGC2264,100.48417,9.8727,72.72,5074,3.31,1.015,11.275,48.45,0.28,0.06
06415638+0912090,665,NGC2264,100.48492,9.2025,4.36,-999,-999,-999,13.59,16.42,1.13,-99
06415671+0934078,665,NGC2264,100.48629,9.5688,30.94,3994,4.994,0.87,12.852,28,0.34,-0.46
06415685+0947451,665,NGC2264,100.48688,9.7959,15.89,6281,3.297,1.017,13.807,-14.18,2.04,-0.98
06415714+0957415,665,NGC2264,100.48808,9.9615,101.24,4321,2.52,1.05,8.23,43.39,0.25,1.2
06415714+0959199,665,NGC2264,100.48808,9.9889,37.86,4813,3.26,1.019,12.197,31.88,0.42,-0.35
06415718+1000452,665,NGC2264,100.48825,10.0126,13.98,4859,2.217,1.038,13.131,92.86,0.7,-0.74
06415737+0942217,665,NGC2264,100.48904,9.706,-0.18,-999,-999,-999,13.893,238.41,336.02,-99
06415760+0922412,665,NGC2264,100.49,9.3781,22.74,5995,4.73,0.989,13.109,-0.88,0.67,-0.7
06415774+0927223,665,NGC2264,100.49058,9.4562,14.7,7056,-999,1.009,14.253,400.04,8.92,-1.11
06415781+1003346,665,NGC2264,100.49088,10.0596,14.25,5649,3.57,1.001,13.274,32.49,2.59,-0.78
06415791+0942589,665,NGC2264,100.49129,9.7164,18.7,5866,5.948,0.976,14.402,31.83,1.29,-1.12
06415797+1005478,665,NGC2264,100.49154,10.0966,9.86,-999,-999,-999,13.866,10.22,1.29,-99
06415803+0950542,665,NGC2264,100.49179,9.8484,35.01,4531,2.75,1.017,12.27,54.34,0.33,-0.38
06415804+0943062,665,NGC2264,100.49183,9.7184,58.44,4106,4.55,0.956,12.108,21.56,0.29,-0.21
06415832+0925348,665,NGC2264,100.493,9.4263,25.85,6822,3.94,1.009,14.056,56.81,2.33,-0.95
06415856+0939368,665,NGC2264,100.494,9.6602,12.49,4835,1.993,1.038,13.388,12.05,1.21,-0.83
06415881+0926582,665,NGC2264,100.49504,9.4495,12.58,5197,3.055,1.005,14.382,9.46,1.01,-1.17
06415901+0926213,665,NGC2264,100.49588,9.4392,36.42,6041,4.274,0.997,12.372,47.96,0.7,-0.25
06415930+0942541,665,NGC2264,100.49708,9.715,26.69,4829,3.08,1.008,12.232,61,0.6,-0.39
06415957+0924499,665,NGC2264,100.49821,9.4139,36.48,4778,3.14,1.02,12.323,75.64,0.32,-0.43
06415981+0958047,665,NGC2264,100.49921,9.968,31.95,6045,3.97,1.005,13.42,29.99,1.01,-0.7
06420003+0955306,665,NGC2264,100.50013,9.9252,16.12,3770,4.103,0.863,14.076,-20.9,0.53,-1.06
06420011+0923546,665,NGC2264,100.50046,9.3985,12.26,6745,3.932,1.003,13.669,58.44,2.34,-0.95
06420014+0945071,665,NGC2264,100.50058,9.752,31.82,5919,4.2,0.999,12.824,-5.86,0.59,-0.55
06420031+0923414,665,NGC2264,100.50129,9.3948,10.99,3706,3.414,0.941,13.165,19.08,3.26,-0.77
06420033+0959174,665,NGC2264,100.50138,9.9882,42.72,5413,4.267,0.993,13.154,55.55,0.98,-0.57
06420044+0926322,665,NGC2264,100.50183,9.4423,24.45,3508,4.642,0.819,13.23,3.69,0.38,-0.74
06420053+0929337,665,NGC2264,100.50221,9.4927,40.8,5697,4.316,0.993,13.165,11.63,1.91,-0.63
06420058+0944090,665,NGC2264,100.50242,9.7358,23.91,5588,4.33,0.999,13.431,68.03,1.21,-0.81
06420063+0938533,665,NGC2264,100.50262,9.6481,54.78,4419,2.56,1.027,10.331,-38.39,0.27,0.38
06420085+0957571,665,NGC2264,100.50354,9.9659,35.31,5373,4,1.002,13.396,5.56,0.44,-0.72
06420103+0937183,665,NGC2264,100.50429,9.6218,20.15,5259,4.52,0.972,13.518,21.09,1,-0.87
06420111+1000262,665,NGC2264,100.50463,10.0073,35.87,5023,3,1.026,11.259,102.76,0.33,0.04
06420113+0958152,665,NGC2264,100.50471,9.9709,11.57,6228,3.428,1.013,14.168,-6.43,4.55,-1.02
06420164+0936005,665,NGC2264,100.50683,9.6001,31.26,5636,4.33,1.003,13.543,38.63,2.3,-0.79
06420240+0957142,665,NGC2264,100.51,9.9539,21.76,3734,4.67,0.855,13.569,-35.57,0.49,-0.81
06420245+0923062,665,NGC2264,100.51021,9.3851,13.93,6575,4.399,0.993,13.099,137.06,51.5,-0.74
06420251+0936254,665,NGC2264,100.51046,9.6071,33.37,5774,4.662,0.989,13.329,5.75,0.67,-0.72
06420256+0929449,665,NGC2264,100.51067,9.4958,168.51,7054,4.12,0.996,11.263,40,0.24,0.82
06420256+0936525,665,NGC2264,100.51067,9.6146,35.04,4243,4.52,0.951,12.329,17.5,0.34,-0.27
06420275+0942391,665,NGC2264,100.51146,9.7109,15.12,3629,4.635,0.815,14.252,18.48,0.46,-1.1
06420298+0927291,665,NGC2264,100.51242,9.4581,63.56,4755,2.93,1.021,9.501,38.01,0.27,0.72
06420302+0928137,665,NGC2264,100.51258,9.4705,17.74,5023,6.036,0.95,14.1,-35.32,1.01,-0.94
06420302+0934139,665,NGC2264,100.51258,9.5705,41.55,4609,2.77,1.022,10.998,37,0.29,0.13
06420310+1003257,665,NGC2264,100.51292,10.0571,50.7,5050,3.4,1.014,10.74,67.99,0.34,0.26
06420319+0930416,665,NGC2264,100.51329,9.5116,139.13,5974,4.157,0.997,11.368,17.27,0.29,0.51
06420334+0940181,665,NGC2264,100.51392,9.6717,30.23,4719,3.24,1.006,12.07,66.7,0.36,-0.33
06420335+0938287,665,NGC2264,100.51396,9.6413,22.15,6526,4.091,0.999,13.851,36.1,3.91,-0.96
06420337+0937130,665,NGC2264,100.51404,9.6203,20.66,5821,4.469,0.992,13.533,6.45,1.19,-0.87
06420364+1001376,665,NGC2264,100.51517,10.0271,63.33,5116,3.31,1.018,10.602,46.3,0.28,0.34
06420371+0941221,665,NGC2264,100.51546,9.6895,31.16,4594,2.91,1.02,11.793,53.29,0.37,-0.23
06420379+0949593,665,NGC2264,100.51579,9.8331,43.09,6442,4.442,0.994,12.915,38.51,1.89,-0.56
06420392+0925323,665,NGC2264,100.51633,9.4256,32.11,4266,4.49,0.908,13.617,22.25,0.37,-0.76
06420420+0937286,665,NGC2264,100.5175,9.6246,17.18,5639,5.654,0.972,13.617,58,1.13,-0.91
06420431+0925482,665,NGC2264,100.51796,9.4301,20.04,3863,4.652,0.852,14.184,-5.18,0.52,-1.04
06420449+0942382,665,NGC2264,100.51871,9.7106,149.29,5301,4.317,0.984,10.281,56.9,0.25,0.84
06420450+0942300,665,NGC2264,100.51875,9.7083,63.08,4802,3.13,1.021,10.733,7.63,0.27,0.26
06420464+0940229,665,NGC2264,100.51933,9.673,63.88,4409,4.462,0.935,11.999,-18.2,0.28,0.14
06420474+0959166,665,NGC2264,100.51975,9.9879,25.38,3777,4.755,0.806,13.289,54.72,0.36,-0.72
06420487+0938045,665,NGC2264,100.52029,9.6346,75.41,4868,3.01,1.023,10.796,63.49,0.27,0.19
06420517+0941305,665,NGC2264,100.52154,9.6918,87.32,4413,2.65,1.002,10.434,85.46,0.37,0.36
06420518+0957154,665,NGC2264,100.52158,9.9543,32.81,3740,4.629,0.819,12.619,35.26,0.32,-0.47
06420549+0949417,665,NGC2264,100.52288,9.8283,20.46,4461,3.13,1.027,12.847,52.13,0.89,-0.62
06420561+0939433,665,NGC2264,100.52338,9.662,12.8,3194,4.381,0.876,13.575,19.29,0.55,-0.9
06420577+0927028,665,NGC2264,100.524,9.4508,52.75,4996,4,0.998,12.715,17.06,0.36,-0.44
06420624+0943060,665,NGC2264,100.526,9.7183,115.62,6284,3.973,1.003,11.684,-24.96,0.29,0.18
06420651+0944477,665,NGC2264,100.52713,9.7466,11.17,3265,5.203,0.819,13.707,44.37,0.5,-0.94
06420685+0922375,665,NGC2264,100.52854,9.3771,29.73,4902,2.723,1.024,11.447,16.77,0.4,-0.11
06420693+0924443,665,NGC2264,100.52888,9.4123,41.7,5866,4.382,0.993,12.597,29.97,0.37,-0.44
06420700+0946409,665,NGC2264,100.52917,9.778,5.16,-999,-999,-999,10.496,1.67,1.52,-99
06420708+0954333,665,NGC2264,100.5295,9.9093,41.33,4858,2.751,1.009,12.231,37.01,0.33,-0.35
06420711+1000138,665,NGC2264,100.52963,10.0038,25.64,5173,3.15,1.004,11.691,75.16,0.49,-0.13
06420736+0949470,665,NGC2264,100.53067,9.8297,129.62,4642,2.445,1.014,9.473,31.08,0.25,0.79
06420752+0936261,665,NGC2264,100.53133,9.6073,212.82,7566,4.14,1.003,10.371,18,0.63,0.78
06420783+0946544,665,NGC2264,100.53263,9.7818,56.24,4383,4.345,0.942,11.676,-4.67,0.27,0.31
06420785+0946524,665,NGC2264,100.53271,9.7812,76.48,5646,4.243,0.997,11.676,-6.45,0.31,0.31
06420797+0918260,665,NGC2264,100.53321,9.3072,20.28,3512,4.725,0.801,13.507,66.02,0.39,-0.83
06420843+0933217,665,NGC2264,100.53512,9.556,86.08,4863,3.21,1.012,10.128,37.72,0.26,0.52
06420870+0941212,665,NGC2264,100.53625,9.6892,71.73,4771,4.47,0.987,11.823,19.51,0.31,-0.02
06420893+0942086,665,NGC2264,100.53721,9.7024,26.46,4880,2.89,1.021,12.681,19.13,0.63,-0.54
06420896+0934264,665,NGC2264,100.53733,9.574,51.32,4814,3.06,1.011,11.121,86.92,0.3,0.12
06420911+0959027,665,NGC2264,100.53796,9.9841,49.78,4590,2.76,1.024,10.669,29.78,0.28,0.28
06420912+0959455,665,NGC2264,100.538,9.996,35.78,5152,3.6,1.006,12.356,61.23,0.36,-0.37
06420914+0948048,665,NGC2264,100.53808,9.8013,38.84,5344,4.26,0.997,12.293,26.71,0.38,-0.21
06420917+0945018,665,NGC2264,100.53821,9.7505,25.85,3757,4.604,0.816,13.465,-3.46,0.37,-0.79
06420924+0944034,665,NGC2264,100.5385,9.7343,55.97,3920,4.55,0.919,12.651,18.24,0.28,-0.44
06420975+0939596,665,NGC2264,100.54063,9.6666,148.52,8148,-999,1,10.95,31.29,0.86,0.47
06420975+0944031,665,NGC2264,100.54063,9.7342,35.96,3497,4.67,0.883,12.634,17.78,0.32,-0.48
06420984+0948434,665,NGC2264,100.541,9.8121,46.09,4823,3.03,1.017,11.33,55.08,0.31,0.04
06420989+0945221,665,NGC2264,100.54121,9.7561,63.84,4617,2.818,0.999,12.296,59.66,0.26,-0.33
06420992+0947541,665,NGC2264,100.54133,9.7984,17.7,3608,3.837,0.878,13.294,18.39,0.66,-0.76
06421022+0936045,665,NGC2264,100.54258,9.6013,43.84,4560,2.63,1.008,11.422,45.56,0.28,-0.02
06421027+0956409,665,NGC2264,100.54279,9.9447,80.31,5022,4.306,0.981,11.801,-9.32,0.31,0.18
06421028+0954418,665,NGC2264,100.54283,9.9116,38.47,4915,3.41,0.999,13.159,7.97,0.41,-0.64
06421033+0959145,665,NGC2264,100.54304,9.9874,31.84,3786,4.583,0.849,12.361,71.18,0.34,-0.32
06421044+0926082,665,NGC2264,100.5435,9.4356,62.26,4444,2.58,1.019,9.515,61.68,0.27,0.7
06421063+0922394,665,NGC2264,100.54429,9.3776,9.22,-999,-999,-999,13.386,36.32,4.34,-99
06421079+0946505,665,NGC2264,100.54496,9.7807,160.67,5875,4.159,0.997,10.691,-43.33,0.27,0.83
06421126+0937444,665,NGC2264,100.54692,9.629,23.06,5679,4.31,1.002,13.642,28.63,0.88,-0.89
06421138+0943456,665,NGC2264,100.54742,9.7293,19.12,3595,3.881,0.868,13.577,16.52,0.4,-0.86
06421143+0934238,665,NGC2264,100.54763,9.5733,57.51,5026,3.42,1.027,12.685,37.22,0.31,-0.45
06421170+0952584,665,NGC2264,100.54875,9.8829,29.88,4395,2.78,1.025,12.497,88.96,0.31,-0.48
06421177+0944359,665,NGC2264,100.54904,9.7433,40.29,4768,3.26,1.017,11.536,6.51,0.33,-0.03
06421187+0953181,665,NGC2264,100.54946,9.8884,56.09,4438,4.976,0.921,11.706,-7.29,0.29,0.04
06421222+0952208,665,NGC2264,100.55092,9.8724,13.44,3470,3.886,0.875,13.808,27.31,0.75,-0.97
06421233+0938045,665,NGC2264,100.55137,9.6346,29.97,6375,4.027,1.001,13.22,15,1.5,-0.72
06421273+0930091,665,NGC2264,100.55304,9.5025,90.93,4427,2.62,1.028,10.33,82.34,0.25,0.37
06421330+0942370,665,NGC2264,100.55542,9.7103,34.13,4418,3.97,0.954,11.49,71.17,0.31,0.21
06421345+0950329,665,NGC2264,100.55604,9.8425,53.6,4837,4.54,0.967,12.326,27.98,0.29,-0.1
06421356+0928099,665,NGC2264,100.5565,9.4694,51.4,7970,-999,1.007,13.24,63.96,2.3,-0.6
06421379+0955264,665,NGC2264,100.55746,9.924,41.66,5153,3.42,1.014,12.182,27.75,0.33,-0.31
06421399+0946560,665,NGC2264,100.55829,9.7822,19.32,4732,2.331,1.012,13.022,59.39,0.62,-0.69
06421407+0935447,665,NGC2264,100.55863,9.5958,32.37,5708,4.923,0.984,12.77,17.28,0.56,-0.39
06421415+0943089,665,NGC2264,100.55896,9.7191,91.37,5837,4.29,1,11.59,-19.37,0.33,0.45
06421513+0943538,665,NGC2264,100.56304,9.7316,38.25,4901,3.12,1.009,12.347,85.93,0.37,-0.39
06421531+0942581,665,NGC2264,100.56379,9.7161,26.56,5015,3.215,0.997,13.068,99.54,0.37,-0.68
06421545+0926371,665,NGC2264,100.56438,9.4436,61.02,5006,4.557,0.974,11.203,21.72,0.29,0.41
06421566+0951406,665,NGC2264,100.56525,9.8613,23.69,4845,4.06,1.015,11.987,-7.91,0.47,-0.22
06421576+0940330,665,NGC2264,100.56567,9.6758,219.05,6304,3.877,1.004,10.791,-49.26,0.26,0.85
06421623+0933019,665,NGC2264,100.56763,9.5505,23.72,7534,-999,1.004,6.136,48.22,10.13,2.22
06421675+0936528,665,NGC2264,100.56979,9.6147,60.18,7198,4.14,1.007,12.118,31.99,1.29,0
06421690+0947252,665,NGC2264,100.57042,9.7903,38.98,4413,2.74,1.02,11.478,28.24,0.28,-0.04
06421779+0940520,665,NGC2264,100.57413,9.6811,40.37,5108,4.24,1,12.046,93.31,0.35,-0.29
06421791+0928411,665,NGC2264,100.57463,9.4781,30.55,4695,2.598,1.016,11.896,41.41,0.36,-0.27
06421883+0951407,665,NGC2264,100.57846,9.8613,42.49,4898,2.79,1.019,10.961,89.56,0.34,0.21
06421886+0941454,665,NGC2264,100.57858,9.6959,58.52,4747,2.9,1.017,10.297,28.52,0.28,0.44
06422006+0938501,665,NGC2264,100.58358,9.6472,49.87,4358,2.56,1.042,9.458,98.33,0.27,0.69
06422027+0932064,665,NGC2264,100.58446,9.5351,15.04,3518,4.611,0.808,13.75,35.27,0.49,-0.95
06422027+0937044,665,NGC2264,100.58446,9.6179,95.38,8280,4.04,1.001,11.681,35.68,1.04,0.37
06422151+0928287,665,NGC2264,100.58963,9.4746,18.98,6158,4.078,1,13.419,61.18,2.76,-0.83
06422163+0940337,665,NGC2264,100.59013,9.676,43.31,5111,4.48,0.984,12.869,0.93,0.38,-0.54
06422165+0943419,665,NGC2264,100.59021,9.7283,11.63,6016,4.213,0.997,11.157,-659.24,3.45,0.45
06422201+0948461,665,NGC2264,100.59171,9.8128,27.76,4793,4.29,0.975,13.235,11.84,0.54,-0.49
06422216+0938153,665,NGC2264,100.59233,9.6376,63.65,6009,4.352,0.995,12.793,6.46,0.44,-0.44
06422238+0947595,665,NGC2264,100.59325,9.7999,35.85,5217,4.2,0.994,11.998,32.34,0.41,-0.12
06422277+0946124,665,NGC2264,100.59488,9.7701,40.93,4880,3.33,1.011,12.524,36.85,0.34,-0.44
06422321+0946375,665,NGC2264,100.59671,9.7771,16.7,3597,5.066,0.781,13.406,60.48,0.53,-0.77
06422331+0942365,665,NGC2264,100.59713,9.7101,45.09,6124,3.9,1.008,11.579,375,3.24,0.11
06422336+0933474,665,NGC2264,100.59733,9.5632,44.86,4741,3.21,1.001,11.942,66.82,0.33,-0.26
06422510+0936030,665,NGC2264,100.60458,9.6008,28.42,5704,4.32,1.001,13.718,48.09,0.85,-0.85
06422525+0939443,665,NGC2264,100.60521,9.6623,34.5,3600,4.551,0.831,12.805,-31.14,0.31,-0.54
06393161+0947355,580,NGC2264,99.88171,9.7932,49.61,5976,4.572,0.993,11.373,-0.44,0.32,0.54
06393676+0955329,580,NGC2264,99.90317,9.9258,5.75,6515,4.1,1.005,11.655,39.2,0.41,0.15
06393750+0927131,580,NGC2264,99.90625,9.4536,81.62,7665,4.11,0.999,10.59,-999,-999,0.86
06394098+0944148,580,NGC2264,99.92075,9.7374,23.24,6043,4.381,0.995,11.024,56.46,0.32,0.66
06394157+0934405,580,NGC2264,99.92321,9.5779,62.76,5783,4.38,1.004,11.315,15.93,0.33,0.44
06395286+0928074,580,NGC2264,99.97025,9.4687,122.07,-999,-999,-999,10.583,21.44,3,-99
06395359+0922140,580,NGC2264,99.97329,9.3706,176.11,-999,-999,-999,9.349,3.57,0.32,-99
06395553+0913179,580,NGC2264,99.98138,9.2216,53.1,6240,3.996,0.998,11.655,23.32,0.32,0.47
06395592+1004536,580,NGC2264,99.983,10.0816,40.82,6516,4,-999,10.563,-999,-999,0.65
06395738+0913593,580,NGC2264,99.98908,9.2331,59.5,5925,4.268,-999,11.488,-4.87,0.32,0.52
06400268+0918198,580,NGC2264,100.01117,9.3055,60.07,5887,4.293,0.999,11.837,13.37,0.32,0.28
06400483+0934466,580,NGC2264,100.02012,9.5796,172.27,-999,-999,-999,10.907,-999,-999,-99
06400565+0935492,580,NGC2264,100.02354,9.597,145.87,6174,3.82,-999,9.787,21.53,0.5,1.18
06400970+0941434,580,NGC2264,100.04004,9.6954,48.83,5205,4.12,1.004,11.013,11.06,0.4,0.46
06401376+0952067,580,NGC2264,100.05733,9.8685,10.42,4677,4.318,0.961,11.855,28.65,0.33,0.07
06401404+0920285,580,NGC2264,100.0585,9.3413,60.99,5181,4.16,0.996,11.329,-999,-999,0.34
06401504+1004516,580,NGC2264,100.06267,10.081,81.78,5530,4.47,0.989,11.313,44.15,0.32,0.47
06401620+0917130,580,NGC2264,100.0675,9.2869,148.62,7947,4.12,0.998,11.049,18.98,3,1.13
06401692+0929099,580,NGC2264,100.0705,9.4861,76.54,6230,3.87,1.002,11.863,16.23,0.33,0.36
06401757+0932198,580,NGC2264,100.07321,9.5388,27.54,5067,4.47,0.973,12.02,0.13,0.32,0.02
06401919+0945352,580,NGC2264,100.07996,9.7598,17.09,4963,4.415,0.952,12.39,-0.94,0.32,-0.15
06401943+1007314,580,NGC2264,100.08096,10.1254,18.6,7584,4.14,1.008,11.729,-999,-999,0.02
06401996+0935434,580,NGC2264,100.08317,9.5954,21.68,5380,4.539,0.988,12.074,84.69,0.32,0.12
06402147+0941505,580,NGC2264,100.08946,9.6974,236.6,7670,4.06,1.001,10.018,-8.78,0.38,1.43
06402313+0956198,580,NGC2264,100.09637,9.9388,42.88,4700,4.588,0.938,10.709,-24.56,0.32,0.46
06402475+0946082,580,NGC2264,100.10313,9.7689,252.28,-999,-999,-999,7.641,-4.46,0.5,-99
06402676+0913309,580,NGC2264,100.1115,9.2253,50.52,5916,4.498,0.989,11.784,41.31,0.32,0.3
06402676+0925282,580,NGC2264,100.1115,9.4245,52.18,5606,4.39,0.99,11.673,51.58,0.32,0.34
