Name,Cluster,Source,LitPeriod,TIC,GaiaDR2,SimbadName
N2547-1-5-3436,NGC 2547,irwin2008,0.643,238597163,5514558654534839808,[IHA2008] N2547-1-5-3436
N2547-1-5-3742,NGC 2547,irwin2008,0.807,238615913,5514556421151886080,[IHA2008] N2547-1-5-3742
N2547-1-5-4180,NGC 2547,irwin2008,2.116,238597228,5514559238650415744,[IHA2008] N2547-1-5-4180
N2547-1-5-4782,NGC 2547,irwin2008,5.137,238597277,5514560097643858432,[IHA2008] N2547-1-5-4782
N2547-1-5-5612,NGC 2547,irwin2008,0.939,0,,[IHA2008] N2547-1-5-5612
N2547-1-6-1433,NGC 2547,irwin2008,0.486,238644925,5514373077588049536,[IHA2008] N2547-1-6-1433
N2547-1-6-2271,NGC 2547,irwin2008,1.273,238616052,5514555179899554304,[IHA2008] N2547-1-6-2271
N2547-1-6-2458,NGC 2547,irwin2008,1.491,238616033,5514555317338523648,[IHA2008] N2547-1-6-2458
N2547-1-6-2487,NGC 2547,irwin2008,5.488,0,,[IHA2008] N2547-1-6-2487
N2547-1-6-2495,NGC 2547,irwin2008,0.801,238616029,5514555420417741952,[IHA2008] N2547-1-6-2495
N2547-1-6-3235,NGC 2547,irwin2008,0.719,238645080,5514373794842183040,[IHA2008] N2547-1-6-3235
N2547-1-6-3669,NGC 2547,irwin2008,1.481,238615930,5514562090508565888,[IHA2008] N2547-1-6-3669
N2547-1-6-4547,NGC 2547,irwin2008,1.963,238615855,5514562365386452096,[IHA2008] N2547-1-6-4547
N2547-1-6-4579,NGC 2547,irwin2008,5.857,238645207,5514561815630691328,[IHA2008] N2547-1-6-4579
N2547-1-6-5108,NGC 2547,irwin2008,1.825,238645189,5514374005300862336,[IHA2008] N2547-1-6-5108
N2547-1-6-5129,NGC 2547,irwin2008,0.536,238645182,5514561678191755392,[IHA2008] N2547-1-6-5129
N2547-1-6-6515,NGC 2547,irwin2008,6.842,238645359,5514563533617613568,[IHA2008] N2547-1-6-6515
N2547-1-6-6631,NGC 2547,irwin2008,5.144,238615673,5514562983861752704,[IHA2008] N2547-1-6-6631
N2547-1-6-7990,NGC 2547,irwin2008,0.784,238615553,5514566037579013120,[IHA2008] N2547-1-6-7990
N2547-1-7-257,NGC 2547,irwin2008,6.707,238644807,5514369229297396736,[IHA2008] N2547-1-7-257
N2547-1-7-338,NGC 2547,irwin2008,1.251,238644820,5514369229297398400,[IHA2008] N2547-1-7-338
N2547-1-7-570,NGC 2547,irwin2008,10.162,238644842,5514369504175295744,[IHA2008] N2547-1-7-570
N2547-1-7-940,NGC 2547,irwin2008,5.177,238644870,5514369607254394880,[IHA2008] N2547-1-7-940
N2547-1-7-1238,NGC 2547,irwin2008,1.752,238667750,5514370157010230784,[IHA2008] N2547-1-7-1238
N2547-1-7-1335,NGC 2547,irwin2008,0.859,238667744,5514370839904590464,[IHA2008] N2547-1-7-1335
N2547-1-7-1592,NGC 2547,irwin2008,2.755,238644928,5514369641614135552,[IHA2008] N2547-1-7-1592
N2547-1-7-1890,NGC 2547,irwin2008,0.227,238667692,5514370874267144320,[IHA2008] N2547-1-7-1890
N2547-1-7-2000,NGC 2547,irwin2008,5.654,238644955,5514372596551631744,[IHA2008] N2547-1-7-2000
N2547-1-7-2335,NGC 2547,irwin2008,4.695,238644979,5514372733990565504,[IHA2008] N2547-1-7-2335
N2547-1-7-2349,NGC 2547,irwin2008,0.422,238644989,5514371153432613632,[IHA2008] N2547-1-7-2349
N2547-1-7-2490,NGC 2547,irwin2008,3.544,238644998,5514371153442622976,[IHA2008] N2547-1-7-2490
N2547-1-7-3302,NGC 2547,irwin2008,0.347,238645056,5514374348898274560,[IHA2008] N2547-1-7-3302
N2547-1-7-3495,NGC 2547,irwin2008,0.7,238667559,5514371664538399104,[IHA2008] N2547-1-7-3495
N2547-1-7-3871,NGC 2547,irwin2008,0.756,238645114,5514374275879084544,[IHA2008] N2547-1-7-3871
N2547-1-7-4262,NGC 2547,irwin2008,4.561,238667505,5514371703198446208,[IHA2008] N2547-1-7-4262
N2547-1-7-5270,NGC 2547,irwin2008,5.368,238645243,5514375345330682624,[IHA2008] N2547-1-7-5270
N2547-1-7-5402,NGC 2547,irwin2008,4.164,0,,[IHA2008] N2547-1-7-5402
