_RAJ2000,_DEJ2000,[IHA2008],RAJ2000,DEJ2000,Vmag,Icmag,Per,Iamp,Mass,Rad,TIC,GaiaDR2,SimbadName
122.52258,-49.13289,N2547-1-6-1433,08 10 05.42,-49 07 58.4,18.38,15.8,0.486,0.046,0.38,0.52,238644925,5514373077588049536,[IHA2008] N2547-1-6-1433
122.43746,-49.10667,N2547-1-6-2271,08 09 44.99,-49 06 24.0,18.06,15.45,1.273,0.033,0.47,0.58,238616052,5514555179899554304,[IHA2008] N2547-1-6-2271
122.3935,-49.10072,N2547-1-6-2458,08 09 34.44,-49 06 02.6,19.42,16.45,1.491,0.009,0.26,0.42,238616033,5514555317338523648,[IHA2008] N2547-1-6-2458
122.519,-49.10117,N2547-1-6-2487,08 10 04.56,-49 06 04.2,14.27,13.16,5.488,0.006,0.86,0.94,0,,[IHA2008] N2547-1-6-2487
122.40487,-49.09983,N2547-1-6-2495,08 09 37.17,-49 05 59.4,19.05,16.38,0.801,0.017,0.27,0.43,238616029,5514555420417741952,[IHA2008] N2547-1-6-2495
122.55054,-49.07544,N2547-1-6-3235,08 10 12.13,-49 04 31.6,19.62,16.85,0.719,0.016,0.21,0.37,238645080,5514373794842183040,[IHA2008] N2547-1-6-3235
122.42867,-49.06147,N2547-1-6-3669,08 09 42.88,-49 03 41.3,19.97,16.78,1.481,0.014,0.21,0.37,238615930,5514562090508565888,[IHA2008] N2547-1-6-3669
122.40604,-49.03411,N2547-1-6-4547,08 09 37.45,-49 02 02.8,17.65,15.34,1.963,0.03,0.49,0.61,238615855,5514562365386452096,[IHA2008] N2547-1-6-4547
122.52117,-49.03267,N2547-1-6-4579,08 10 05.08,-49 01 57.6,16.93,14.87,5.857,0.013,0.61,0.69,238645207,5514561815630691328,[IHA2008] N2547-1-6-4579
122.57675,-49.03739,N2547-1-6-5108,08 10 18.42,-49 02 14.6,16.25,14.26,1.825,0.01,0.72,0.79,238645189,5514374005300862336,[IHA2008] N2547-1-6-5108
122.56208,-49.03956,N2547-1-6-5129,08 10 14.90,-49 02 22.4,15.91,14.22,0.536,0.013,0.73,0.79,238645182,5514561678191755392,[IHA2008] N2547-1-6-5129
122.5755,-48.97369,N2547-1-6-6515,08 10 18.12,-48 58 25.3,17.88,15.3,6.842,0.039,0.51,0.61,238645359,5514563533617613568,[IHA2008] N2547-1-6-6515
122.47946,-48.97058,N2547-1-6-6631,08 09 55.07,-48 58 14.1,16.08,14.34,5.144,0.022,0.71,0.78,238615673,5514562983861752704,[IHA2008] N2547-1-6-6631
122.47217,-48.92711,N2547-1-6-7990,08 09 53.32,-48 55 37.6,20.6,17.52,0.784,0.017,0.14,0.3,238615553,5514566037579013120,[IHA2008] N2547-1-6-7990
122.64829,-49.17431,N2547-1-7-257,08 10 35.59,-49 10 27.5,15.14,13.26,6.707,0.028,0.85,0.93,238644807,5514369229297396736,[IHA2008] N2547-1-7-257
122.6575,-49.16986,N2547-1-7-338,08 10 37.80,-49 10 11.5,19.01,16.27,1.251,0.024,0.29,0.44,238644820,5514369229297398400,[IHA2008] N2547-1-7-338
122.63579,-49.16206,N2547-1-7-570,08 10 32.59,-49 09 43.4,18.13,15.76,10.162,0.012,0.39,0.52,238644842,5514369504175295744,[IHA2008] N2547-1-7-570
122.64883,-49.15017,N2547-1-7-940,08 10 35.72,-49 09 00.6,15.89,14.16,5.177,0.032,0.74,0.8,238644870,5514369607254394880,[IHA2008] N2547-1-7-940
122.74758,-49.14239,N2547-1-7-1238,08 10 59.42,-49 08 32.6,18.5,15.86,1.752,0.055,0.37,0.51,238667750,5514370157010230784,[IHA2008] N2547-1-7-1238
122.70742,-49.13878,N2547-1-7-1335,08 10 49.78,-49 08 19.6,19.8,16.95,0.859,0.014,0.19,0.35,238667744,5514370839904590464,[IHA2008] N2547-1-7-1335
122.67117,-49.13119,N2547-1-7-1592,08 10 41.08,-49 07 52.3,18.13,15.47,2.755,0.007,0.46,0.58,238644928,5514369641614135552,[IHA2008] N2547-1-7-1592
122.72071,-49.12114,N2547-1-7-1890,08 10 52.97,-49 07 16.1,20.33,17.1,0.227,0.02,0.18,0.34,238667692,5514370874267144320,[IHA2008] N2547-1-7-1890
122.66921,-49.11817,N2547-1-7-2000,08 10 40.61,-49 07 05.4,18.63,15.89,5.654,0.011,0.36,0.51,238644955,5514372596551631744,[IHA2008] N2547-1-7-2000
122.60642,-49.10928,N2547-1-7-2335,08 10 25.54,-49 06 33.4,16.71,14.72,4.695,0.018,0.63,0.71,238644979,5514372733990565504,[IHA2008] N2547-1-7-2335
122.69217,-49.10786,N2547-1-7-2349,08 10 46.12,-49 06 28.3,20.75,17.72,0.422,0.008,0.13,0.29,238644989,5514371153432613632,[IHA2008] N2547-1-7-2349
122.69037,-49.10475,N2547-1-7-2490,08 10 45.69,-49 06 17.1,16.91,14.59,3.544,0.006,0.66,0.74,238644998,5514371153442622976,[IHA2008] N2547-1-7-2490
122.64787,-49.08336,N2547-1-7-3302,08 10 35.49,-49 05 00.1,14.78,13.42,0.347,0.032,0.83,0.91,238645056,5514374348898274560,[IHA2008] N2547-1-7-3302
122.74654,-49.07439,N2547-1-7-3495,08 10 59.17,-49 04 27.8,19.95,16.89,0.7,0.007,0.2,0.36,238667559,5514371664538399104,[IHA2008] N2547-1-7-3495
122.69508,-49.06325,N2547-1-7-3871,08 10 46.82,-49 03 47.7,20.06,17.18,0.756,0.032,0.17,0.34,238645114,5514374275879084544,[IHA2008] N2547-1-7-3871
122.76975,-49.05436,N2547-1-7-4262,08 11 04.74,-49 03 15.7,15.87,13.85,4.561,0.022,0.78,0.85,238667505,5514371703198446208,[IHA2008] N2547-1-7-4262
122.68067,-49.02092,N2547-1-7-5270,08 10 43.36,-49 01 15.3,15.55,14.02,5.368,0.011,0.76,0.82,238645243,5514375345330682624,[IHA2008] N2547-1-7-5270
122.78367,-49.018,N2547-1-7-5402,08 11 08.08,-49 01 04.8,17.88,15.63,4.164,0.007,0.42,0.55,0,,[IHA2008] N2547-1-7-5402
122.77067,-48.99625,N2547-1-7-6020,08 11 04.96,-48 59 46.5,18.06,15.63,8.498,0.012,0.42,0.55,238667370,5514375066152563712,[IHA2008] N2547-1-7-6020
122.75492,-48.98561,N2547-1-7-6310,08 11 01.18,-48 59 08.2,21.6,18.29,0.37,0.033,0.1,0.25,238667343,5514375134872629760,[IHA2008] N2547-1-7-6310
122.65317,-48.9775,N2547-1-7-6578,08 10 36.76,-48 58 39.0,19.18,16.39,1.328,0.018,0.27,0.43,238645350,5514563361818944256,[IHA2008] N2547-1-7-6578
122.67975,-48.94653,N2547-1-7-7580,08 10 43.14,-48 56 47.5,20.66,17.32,0.265,0.014,0.16,0.32,238645413,5514563774129415296,[IHA2008] N2547-1-7-7580
122.71287,-48.92308,N2547-1-7-8334,08 10 51.09,-48 55 23.1,19.99,17.11,0.886,0.018,0.18,0.34,238667182,5514563907273748992,[IHA2008] N2547-1-7-8334
122.69242,-48.91703,N2547-1-7-8533,08 10 46.18,-48 55 01.3,18.86,16.11,1.389,0.021,0.32,0.47,238661711,5514563941634975232,[IHA2008] N2547-1-7-8533
123.00787,-49.11725,N2547-1-8-1886,08 12 01.89,-49 07 02.1,19.24,16.32,0.393,0.012,0.28,0.43,238725179,5515859273711523328,[IHA2008] N2547-1-8-1886
122.98937,-48.98067,N2547-1-8-6204,08 11 57.45,-48 58 50.4,17.84,15.21,1.421,0.012,0.53,0.63,238725536,5515874082758664576,[IHA2008] N2547-1-8-6204
122.82812,-48.96131,N2547-1-8-6812,08 11 18.75,-48 57 40.7,19.93,17.02,0.463,0.012,0.19,0.35,238667271,5515876414919962752,[IHA2008] N2547-1-8-6812
122.8195,-49.37475,N2547-2-1-944,08 11 16.68,-49 22 29.1,18.88,16.21,0.284,0.006,0.3,0.45,238668404,5514351667170003584,[IHA2008] N2547-2-1-944
122.84508,-49.37078,N2547-2-1-1056,08 11 22.82,-49 22 14.8,20.43,17.42,0.886,0.014,0.15,0.31,238668390,5514351701529756672,[IHA2008] N2547-2-1-1056
122.84225,-49.36308,N2547-2-1-1310,08 11 22.14,-49 21 47.1,15.97,14.1,3.167,0.012,0.75,0.81,238668371,5514351705830909056,[IHA2008] N2547-2-1-1310
122.95279,-49.32519,N2547-2-1-2408,08 11 48.67,-49 19 30.7,16.9,14.82,2.333,0.015,0.62,0.7,238724617,5514352908421767168,[IHA2008] N2547-2-1-2408
122.9865,-49.31253,N2547-2-1-2761,08 11 56.76,-49 18 45.1,18.01,15.54,0.238,0.006,0.44,0.56,238724655,5514352839702295424,[IHA2008] N2547-2-1-2761
122.87946,-49.23625,N2547-2-1-4983,08 11 31.07,-49 14 10.5,19.72,17.01,1.038,0.053,0.19,0.35,238668031,5514357096009083648,[IHA2008] N2547-2-1-4983
122.89838,-49.206,N2547-2-1-5935,08 11 35.61,-49 12 21.6,18.84,16.13,4.301,0.011,0.31,0.46,238724915,5514357443907063040,[IHA2008] N2547-2-1-5935
123.016,-49.20125,N2547-2-1-6067,08 12 03.84,-49 12 04.5,18.94,16.24,0.402,0.026,0.29,0.44,238724935,5515855528500099456,[IHA2008] N2547-2-1-6067
122.70892,-49.37992,N2547-2-2-833,08 10 50.14,-49 22 47.7,18.86,16.21,1.624,0.045,0.3,0.45,238668415,5514354317171091328,[IHA2008] N2547-2-2-833
122.78167,-49.36175,N2547-2-2-1421,08 11 07.60,-49 21 42.3,17.22,14.89,2.289,0.026,0.6,0.68,238668370,5514351843269849216,[IHA2008] N2547-2-2-1421
122.69537,-49.35944,N2547-2-2-1485,08 10 46.89,-49 21 34.0,20.44,17.23,0.188,0.011,0.17,0.33,238644305,5514354587747828864,[IHA2008] N2547-2-2-1485
122.63275,-49.35828,N2547-2-2-1563,08 10 31.86,-49 21 29.8,15.12,13.67,0.24,0.013,0.8,0.87,238644309,5514349506807731200,[IHA2008] N2547-2-2-1563
122.61417,-49.33881,N2547-2-2-2133,08 10 27.40,-49 20 19.7,18.42,15.93,2.071,0.033,0.35,0.5,238644360,5514349777384533376,[IHA2008] N2547-2-2-2133
122.73375,-49.31108,N2547-2-2-2994,08 10 56.10,-49 18 39.9,17.53,15.13,0.294,0.047,0.54,0.64,238668225,5514355176164451712,[IHA2008] N2547-2-2-2994
122.69971,-49.28553,N2547-2-2-3799,08 10 47.93,-49 17 07.9,16.9,14.86,4.493,0.027,0.61,0.69,238644506,5514356206956587904,[IHA2008] N2547-2-2-3799
