tic_id,g_group,ap_type,j-k,period,power,sigma
94105777,16,Pipeline,0.875,27.4887099941096,0,0.026702786997687
93555536,17,Pipeline,0.877000000000001,28,0,0.032208379307389
144757228,17,Pipeline,0.903,28,0,0.033202441823494
94182717,11,Percentile,0.523999999999999,2.25098480585256,0,0.030110617885082
92580385,16,Pipeline,0.930999999999999,28,0,0.026518852148687
93630218,15,Pipeline,0.895,16.3160654973486,0,0.028349866765593
93016462,17,Pipeline,0.896000000000001,12.5173230810497,0,0.029278771299509
94184554,16,Percentile,0.873999999999999,28,0,0.026223596618457
94103916,15,Percentile,0.824999999999999,17.9717586649551,0,0.025456393934131
93912230,13,Threshold,0.875,11.0071546505228,0,0.028799889658803
93912428,14,Threshold,0.901999999999999,17.759736141063,0,0.033519279561487
93631142,16,Threshold,0.873000000000001,28,0,0.026778224464023
