angDist,ID,RA,Dec,Obs date,Sem,RA_search,Dec_search,TIC,owner,name,date,wav,rho,theta,B/A,delm,see,rho*see,notes,g_group,ap_type,j-k,period,power,sigma,ra_tic,dec_tic,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected
0.005703,,,,,,,,93018819,,,,,,,,,,,,17,Pipeline,0.831,28.0,0,0.025314074403379,129.49659954808,-53.36538374627,129.49660049512,-53.36538522608,0.002,0.002,4,5318158213924945152,129.49642583993,0.0903,-53.36527880254,0.0873,6.5101,0.098,66.4033,33.515,-23.449,0.115,23.945,0.106,341,1.8484,437.72,0.324,1.341,31,,,25,1.071,0,1290.37,1.74612,17.910582,112.146,7.76435,20.214087,1881.76,16.561485,3.652601,,,0,,,,,465748353,,0.003123,0.075222,0.006053,17.910582,0.003123,1290.37
0.001585,IC2391m083756-5257,08:37:56.2,-52:57:06,20200112,GS2019B,08:37:56.2,-52:57:06,93021329,,,,,,,,,,,,12,Threshold,0.725000000000001,0.233798982974424,0,0.026369904202133,129.48431240134,-52.95152894706,129.4843120071,-52.95152931789,0.0,0.0,3,5318185667356683392,129.48413735918,0.009,-52.95142337208,0.0083,6.6901,0.0097,690.512,33.597,-23.675,0.012,23.838,0.01,343,-0.4304,450.92,0.035,1.534,31,,,26,0.983,0,176960.0,480.008,12.567677,71073.0,643.885,13.209281,152740.0,11.788011,1.42127,11.05,5.75,2,5500.0,4.5,,,465754451,,0.004033,0.010224,0.007979,12.567677,0.004033,176960.0
0.009391,,,,,,,,93021434,,,,,,,,,,,,16,Pipeline,0.892000000000001,13.4693092168559,0,0.037739662246314,129.48692881524,-52.9318475396,129.48693201966,-52.93184578631,0.001,0.001,9,5318185706017892736,129.48674428319,0.0486,-52.93174092494,0.0477,6.6223,0.0538,123.1898,34.712,-25.461,0.067,23.594,0.058,351,8.8992,697.34,0.427,12.71,31,,,26,1.356,0,5411.71,4.55513,16.35403,745.601,11.5949,18.157276,7553.46,15.052531,3.104745,,,0,,,,,465754490,,0.002903,0.017113,0.004244,16.35403,0.002903,5411.71
0.002133,,,,,,,,93022865,,,,,,,,,,,,15,Percentile,0.863999999999999,28.0,0,0.027083038293752,129.50509333216,-52.53385073249,129.50509319423,-52.53385131899,0.0,0.0,176,5321572442349020160,129.50491226048,0.0227,-52.53374503309,0.0212,6.7805,0.0239,283.3847,34.426,-24.764,0.029,23.914,0.026,411,0.1159,426.38,0.0,0.0,31,,,28,1.003,0,10105.0,10.9263,15.67603,1666.32,14.5155,17.284145,13206.6,14.44592,2.838225,,,0,,,,,465734273,,0.002995,0.009861,0.005121,15.67603,0.002995,10105.0
0.00182,IC2391m083836-5206,08:38:36.1,-52:06:39,20200109,GS2019B,08:38:36.1,-52:06:39,93265597,,,,,,,,,,,,12,Percentile,0.755000000000001,28.0,0,0.027430943877547,129.65039426334,-52.11077544047,129.65039376954,-52.11077584513,0.0,0.0,157,5321600445535344000,129.65021357211,0.0098,-52.11067051561,0.0092,6.664,0.0102,653.619,34.375,-24.9,0.013,23.699,0.012,341,2.4063,548.56,0.061,4.529,31,,,24,1.093,0,182732.0,194.485,12.53283,72528.0,276.322,13.187278,158484.0,11.747934,1.439344,11.74,6.47,9,5500.0,4.5,,,465768788,,0.002988,0.00499,0.004765,12.53283,0.002988,182732.0
0.004454,,,,,,,,93266844,,,,,,,,,,,,17,Pipeline,0.91,28.0,0,0.027004754438792,129.67609648925,-52.51032316415,129.67609822292,-52.51032251783,0.001,0.001,113,5321573370061907072,129.67591350341,0.0519,-52.51021715968,0.0589,6.7036,0.0638,105.0042,34.667,-25.295,0.07,23.706,0.077,308,-0.9222,320.8,0.0,0.0,31,,,24,0.962,0,2405.16,3.66579,17.234509,268.681,7.29462,19.265451,3463.3,15.899172,3.36628,,,0,,,,,465732629,,0.003214,0.029609,0.00549,17.234509,0.003214,2405.16
0.002514,IC2391b083902-5242,08:39:02.8,-52:42:39,20190522,GS2019A,08:39:02.8,-52:42:39,93267406,,,,,,,,,,,,10,Percentile,0.153000000000001,28.0,0,0.030121996602488,129.76173547682,-52.71069531471,129.76173460579,-52.71069577197,0.0,0.0,46,5318565656005527936,129.76156153849,0.0087,-52.71058935991,0.01,6.5648,0.0102,644.0002,33.613,-23.591,0.013,23.943,0.013,361,-2.3921,584.89,0.059,4.691,31,,,26,0.911,0,981181.0,1490.7,10.707994,500906.0,2805.04,11.089152,682206.0,10.163107,0.926045,11.82,3.91,9,5500.0,4.5,,,465730277,,0.003211,0.00669,0.005732,10.707994,0.003211,981181.0
0.002232,,,,,,,,93267903,,,,,,,,,,,,16,Percentile,0.885999999999999,28.0,0,0.026344229225265,129.65406138196,-52.87844099098,129.6540623198,-52.8784407377,0.001,0.001,3,5318187007391037184,129.65389133549,0.0462,-52.8783367025,0.047,6.4477,0.0518,124.3703,32.97,-23.218,0.059,23.408,0.055,343,-0.657,347.9,0.0,0.0,31,,,26,0.974,0,3174.01,3.09345,16.933344,426.18,9.0973,18.76456,4390.93,15.641503,3.123057,,,0,,,,,465752557,,0.002952,0.023344,0.004868,16.933344,0.002952,3174.01
0.008354,,,,,,,,93268062,,,,,,,,,,,,15,Percentile,0.849,28.0,0,0.028743451140048,129.63589837941,-52.93519782821,129.63589495732,-52.93519676469,0.001,0.001,6,5318186565011453056,129.63571609229,0.0429,-52.93509528912,0.0431,6.5586,0.0472,138.8278,33.312,-24.256,0.059,22.832,0.052,363,20.7329,1295.81,0.456,29.09,31,,,28,1.866,0,9942.9,8.92399,15.693584,1744.25,8.76349,17.23452,13254.6,14.441982,2.792538,,,0,,,,,465752252,,0.002923,0.006127,0.004128,15.693584,0.002923,9942.9
0.003321,IC2391b083822-5256,08:38:22.9,-52:56:48,20190522,GS2019A,08:38:22.9,-52:56:48,93268096,,,,,,,,,,,,10,Pipeline,0.404,3.94838891630826,0,0.02525609543083,129.59545600013,-52.94667737254,129.59545505191,-52.94667809679,0.0,0.0,19,5318186221414047104,129.59526980026,0.0084,-52.94656961304,0.0084,6.6944,0.0093,719.6805,35.023,-25.116,0.011,24.409,0.01,384,-4.4016,566.74,0.053,3.98,31,,,28,0.844,0,916789.0,600.397,10.781693,486496.0,1044.13,11.120845,614607.0,10.276402,0.844442,15.43,0.71,9,5500.0,4.5,,,465752344,,0.002846,0.003635,0.004083,10.781693,0.002846,916789.0
