TIC,provenance_name,sequence_number,flux_cols,period,power,threshold
22534317,PATHOS,7,ap3_flux_cor,5.7784,0.0474,0.0253
22534317,PATHOS,7,ap3_flux_cor,3.7232,0.106,0.0253
22534317,PATHOS,7,ap3_flux_cor,37.592,0.4482,0.0253
22534317,PATHOS,7,psf_flux_cor,1.5981,0.0221,0.0197
22534317,PATHOS,7,psf_flux_cor,7.9077,0.1172,0.0197
22534317,PATHOS,7,psf_flux_cor,5.8802,0.1523,0.0197
22534317,PATHOS,7,psf_flux_cor,12.4702,0.201,0.0197
22534317,PATHOS,7,psf_flux_cor,3.7937,0.3764,0.0197
22534359,QLP,7,sap_flux,0.7857,0.0414,0.0236
22534359,QLP,7,sap_flux,0.4331,0.0867,0.0236
22534359,QLP,7,sap_flux,0.8823,0.725,0.0236
22534495,QLP,7,sap_flux,1.2173,0.0264,0.0257
22534495,QLP,7,sap_flux,1.4742,0.8813,0.0257
22534822,QLP,7,sap_flux,3.0472,0.0281,0.0214
22534822,QLP,7,sap_flux,1.0669,0.0321,0.0214
22534822,QLP,7,sap_flux,26.3723,0.0357,0.0214
22534822,QLP,7,sap_flux,1.0051,0.0758,0.0214
22534822,QLP,7,sap_flux,2.1128,0.799,0.0214
22535661,CDIPS,7,PCA1,6.0096,0.0497,0.023
22535661,CDIPS,7,PCA1,3.3533,0.0709,0.023
22535661,CDIPS,7,PCA1,2.1772,0.0791,0.023
22535661,CDIPS,7,PCA1,4.342,0.2481,0.023
22535661,CDIPS,7,PCA2,5.9856,0.0907,0.0227
22535661,CDIPS,7,PCA2,3.4456,0.0944,0.0227
22535661,CDIPS,7,PCA2,2.1835,0.1127,0.0227
22535661,CDIPS,7,PCA2,4.3736,0.5977,0.0227
22535661,CDIPS,7,PCA3,15.9872,0.0514,0.0248
22535661,CDIPS,7,PCA3,2.2141,0.0583,0.0248
22535661,CDIPS,7,PCA3,8.3471,0.194,0.0248
22535661,CDIPS,7,PCA3,4.4513,0.3142,0.0248
22535661,CDIPS,7,TFA1,3.3759,0.0265,0.0224
22535661,CDIPS,7,TFA1,2.2157,0.0279,0.0224
22535661,CDIPS,7,TFA1,1.8626,0.0315,0.0224
22535661,CDIPS,7,TFA1,4.3232,0.0769,0.0224
22535661,CDIPS,7,TFA2,3.4065,0.0416,0.0234
22535661,CDIPS,7,TFA2,2.174,0.0443,0.0234
22535661,CDIPS,7,TFA2,4.3357,0.1178,0.0234
22535661,CDIPS,7,TFA3,1.865,0.024,0.0225
22535661,CDIPS,7,TFA3,2.1203,0.0282,0.0225
22535661,CDIPS,7,TFA3,4.5733,0.0401,0.0225
22535661,PATHOS,7,ap1_flux_cor,2.697,0.0308,0.0231
22535661,PATHOS,7,ap1_flux_cor,2.1819,0.0904,0.0231
22535661,PATHOS,7,ap1_flux_cor,4.317,0.6362,0.0231
22535661,PATHOS,7,ap2_flux_cor,1.8766,0.0232,0.023
22535661,PATHOS,7,ap2_flux_cor,2.685,0.0239,0.023
22535661,PATHOS,7,ap2_flux_cor,4.274,0.1784,0.023
22535661,PATHOS,7,ap2_flux_cor,14.3117,0.753,0.023
22535661,PATHOS,7,ap3_flux_cor,7.5123,0.0719,0.0263
22535661,PATHOS,7,ap3_flux_cor,4.3546,0.0737,0.0263
22535661,PATHOS,7,ap3_flux_cor,15.8189,0.8064,0.0263
22535661,PATHOS,7,psf_flux_cor,1.8872,0.0283,0.0235
22535661,PATHOS,7,psf_flux_cor,2.7019,0.0339,0.0235
22535661,PATHOS,7,psf_flux_cor,2.219,0.0424,0.0235
22535661,PATHOS,7,psf_flux_cor,10.8883,0.2027,0.0235
22535661,PATHOS,7,psf_flux_cor,4.3546,0.5956,0.0235
22595959,CDIPS,7,PCA1,8.0346,0.0542,0.0205
22595959,CDIPS,7,PCA1,3.8373,0.132,0.0205
22595959,CDIPS,7,PCA1,2.5333,0.2255,0.0205
