TIC,provenance_name,sequence_number,flux_cols,period,power,threshold
130799014,CDIPS,8,PCA2,0.3971,0.1725,0.0284
130799014,CDIPS,8,PCA2,0.203,0.2355,0.0284
130799014,CDIPS,8,PCA2,0.4063,0.6683,0.0284
130799014,CDIPS,8,PCA3,0.2054,0.0487,0.0339
130799014,CDIPS,8,PCA3,0.2007,0.0488,0.0339
130799014,CDIPS,8,PCA3,0.3677,0.0598,0.0339
130799014,CDIPS,8,PCA3,0.3971,0.1573,0.0339
130799014,CDIPS,8,PCA3,0.4158,0.1658,0.0339
130799014,CDIPS,8,PCA3,0.2031,0.2225,0.0339
130799014,CDIPS,8,PCA3,0.4063,0.6479,0.0339
130799014,CDIPS,8,TFA1,0.2055,0.0371,0.0277
130799014,CDIPS,8,TFA1,0.2007,0.051,0.0277
130799014,CDIPS,8,TFA1,0.3682,0.0512,0.0277
130799014,CDIPS,8,TFA1,0.4158,0.138,0.0277
130799014,CDIPS,8,TFA1,0.3971,0.153,0.0277
130799014,CDIPS,8,TFA1,0.203,0.1825,0.0277
130799014,CDIPS,8,TFA1,0.4063,0.5534,0.0277
130799014,CDIPS,8,TFA2,0.3684,0.0487,0.0308
130799014,CDIPS,8,TFA2,0.2007,0.053,0.0308
130799014,CDIPS,8,TFA2,0.4157,0.124,0.0308
130799014,CDIPS,8,TFA2,0.397,0.148,0.0308
130799014,CDIPS,8,TFA2,0.2031,0.2027,0.0308
130799014,CDIPS,8,TFA2,0.4062,0.485,0.0308
130799014,CDIPS,8,TFA3,0.2007,0.04,0.0298
130799014,CDIPS,8,TFA3,0.2054,0.0469,0.0298
130799014,CDIPS,8,TFA3,0.368,0.065,0.0298
130799014,CDIPS,8,TFA3,0.3969,0.1111,0.0298
130799014,CDIPS,8,TFA3,0.4157,0.1271,0.0298
130799014,CDIPS,8,TFA3,0.203,0.1773,0.0298
130799014,CDIPS,8,TFA3,0.4061,0.4587,0.0298
130799014,PATHOS,8,ap1_flux_cor,0.2055,0.0719,0.0332
130799014,PATHOS,8,ap1_flux_cor,0.2006,0.0742,0.0332
130799014,PATHOS,8,ap1_flux_cor,0.3693,0.0775,0.0332
130799014,PATHOS,8,ap1_flux_cor,0.2031,0.2205,0.0332
130799014,PATHOS,8,ap1_flux_cor,0.3968,0.2256,0.0332
130799014,PATHOS,8,ap1_flux_cor,0.4161,0.2258,0.0332
130799014,PATHOS,8,ap1_flux_cor,0.4061,0.657,0.0332
130799014,PATHOS,8,ap2_flux_cor,11.7393,0.0469,0.034
130799014,PATHOS,8,ap2_flux_cor,0.2006,0.0629,0.034
130799014,PATHOS,8,ap2_flux_cor,0.2055,0.0665,0.034
130799014,PATHOS,8,ap2_flux_cor,0.3692,0.0697,0.034
130799014,PATHOS,8,ap2_flux_cor,55.7192,0.1463,0.034
130799014,PATHOS,8,ap2_flux_cor,0.2031,0.1989,0.034
130799014,PATHOS,8,ap2_flux_cor,0.4161,0.2088,0.034
130799014,PATHOS,8,ap2_flux_cor,0.3968,0.2127,0.034
130799014,PATHOS,8,ap2_flux_cor,0.4061,0.6007,0.034
130799014,PATHOS,8,ap3_flux_cor,0.2056,0.0642,0.0341
130799014,PATHOS,8,ap3_flux_cor,0.2006,0.0686,0.0341
130799014,PATHOS,8,ap3_flux_cor,0.3692,0.0746,0.0341
130799014,PATHOS,8,ap3_flux_cor,0.2031,0.2066,0.0341
130799014,PATHOS,8,ap3_flux_cor,0.4161,0.2198,0.0341
130799014,PATHOS,8,ap3_flux_cor,0.3968,0.2298,0.0341
130799014,PATHOS,8,ap3_flux_cor,0.4061,0.6362,0.0341
130799014,PATHOS,8,psf_flux_cor,12.1671,0.0456,0.0362
130799014,PATHOS,8,psf_flux_cor,0.2006,0.0689,0.0362
130799014,PATHOS,8,psf_flux_cor,0.2055,0.0706,0.0362
130799014,PATHOS,8,psf_flux_cor,0.3691,0.0748,0.0362
