target_name,provenance_name,flux_cols,sequence_number,obs_id,productFilename,fund_periods,fund_powers,sig_periods,sig_powers,sec_periods,sec_powers,thresholds,tics,num_sig_peaks,harm_types,clean60,clean30,clean10,clean,half,dbl,period_short,power_short,SpotEvol,MultiProt,Blended,Q,Q2,Q3,Select,Notes
130796747,CDIPS,TFA3,8,hlsp_cdips_tess_ffi_gaiatwo0005538544015354705664-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538544015354705664-0008-cam3-ccd2_tess_v01_llc.fits,0.1398,0.014,-9999,-9999,-9999,-9999,0.028775,130796747,0,-,FALSE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130796747,CDIPS,PCA1,8,hlsp_cdips_tess_ffi_gaiatwo0005538544015354705664-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538544015354705664-0008-cam3-ccd2_tess_v01_llc.fits,2.4607,0.0314,2.4607,0.0314,-9999,-9999,0.02726,130796747,0,-,TRUE,TRUE,TRUE,TRUE,0,0,-99,-99,,,,,,,,
130796747,CDIPS,PCA2,8,hlsp_cdips_tess_ffi_gaiatwo0005538544015354705664-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538544015354705664-0008-cam3-ccd2_tess_v01_llc.fits,1.3632,0.0225,-9999,-9999,-9999,-9999,0.026999,130796747,0,-,FALSE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130796747,CDIPS,PCA3,8,hlsp_cdips_tess_ffi_gaiatwo0005538544015354705664-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538544015354705664-0008-cam3-ccd2_tess_v01_llc.fits,2.9456,0.0614,2.9456,0.0614,3.5854,0.0505,0.028623,130796747,3,-,FALSE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797034,CDIPS,TFA1,8,hlsp_cdips_tess_ffi_gaiatwo0005538547421274143488-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547421274143488-0008-cam3-ccd2_tess_v01_llc.fits,2.1914,0.2617,2.1914,0.2617,1.4822,0.0349,0.030369,130797034,2,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797034,QLP,sap_flux,8,hlsp_qlp_tess_ffi_s0008-0000000130797034_tess_v01_llc,hlsp_qlp_tess_ffi_s0008-0000000130797034_tess_v01_llc.fits,2.1883,0.422,2.1883,0.422,19.1456,0.2162,0.028827,130797034,6,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797034,CDIPS,TFA2,8,hlsp_cdips_tess_ffi_gaiatwo0005538547421274143488-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547421274143488-0008-cam3-ccd2_tess_v01_llc.fits,2.2108,0.2972,2.2108,0.2972,1.6608,0.0432,0.026356,130797034,2,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797034,CDIPS,TFA3,8,hlsp_cdips_tess_ffi_gaiatwo0005538547421274143488-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547421274143488-0008-cam3-ccd2_tess_v01_llc.fits,2.1662,0.2187,2.1662,0.2187,1.0768,0.0603,0.02768,130797034,1,half,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797034,CDIPS,PCA1,8,hlsp_cdips_tess_ffi_gaiatwo0005538547421274143488-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547421274143488-0008-cam3-ccd2_tess_v01_llc.fits,2.2059,0.7794,2.2059,0.7794,1.9676,0.2822,0.028892,130797034,5,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,m,n,y,0,2,2,y,Could possibly double period; blended with TIC 130797037
130797034,CDIPS,PCA2,8,hlsp_cdips_tess_ffi_gaiatwo0005538547421274143488-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547421274143488-0008-cam3-ccd2_tess_v01_llc.fits,2.2011,0.8061,2.2011,0.8061,4.4382,0.0482,0.027677,130797034,3,dbl,TRUE,TRUE,TRUE,FALSE,0,0,-99,-99,,,,,,,,
